Título	Autor	Editora	Ano	ISBN	Idioma	Capa	Páginas	Altura (cm)	Largura (cm)	Peso (g)	Estante	Preço R$	Frete R$	Total R$	Fotos
Os Sonhos Morrem Primeiro	Harold Robbins	Círculo do Livro	1977	ND	Português	Dura	312	20	13	395	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Os Sonhos Morrem Primeiro, de Harold Robbins
Os Transportes No Futuro	René Joatton	Instituto Piaget	2000	9789727712618	Português	Mole	146	20	14	242	Sociologia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Os Transportes No Futuro, de René Joatton
Os Três Porquinhos	Equipe Girassol	Girassol	2010	9788539402304	Português	Mole	16	18	13	54	Infantil	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Os Três Porquinhos, de Equipe Girassol
Ouro: Sua História, Seus Encantos, Seu Valor	Santanna; Almeida; Xavier; Chaves	Salamandra	1989	ND	Português	Dura	174	31	24	1667	História	40	25.45	65.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Ouro: Sua História, Seus Encantos, Seu Valor, de Santanna; Almeida; Xavier; Chaves
Pagador De Promessas	Dias Gomes	Ediouro	ND	9788500913914	Português	Mole	98	21	12	135	Teatro	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Pagador De Promessas, de Dias Gomes
Pai-Líder	Sergio Buaiz	Chance Network	2003	9788589536011	Português	Dura	94	18	18	334	Design	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Pai-Líder, de Sergio Buaiz
Paisagem Íntima	Jane Blumberg	Versos	1962	ND	Português	Mole	64	18	13	139	Poesia	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Paisagem Íntima, de Jane Blumberg
Para Francisco	Cristiana Guerra	ARX	2008	9788502076877	Português	Mole	190	21	14	256	Filosofia	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Para Francisco, de Cristiana Guerra
Para Gostar De Ler Volume 3 - Crônicas	Paulo Mendes Campos; Rubem Braga; Outros	Ática	1992	9788508001217	Português	Mole	78	21	14	110	Juvenil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Para Gostar De Ler Volume 3 - Crônicas, de Paulo Mendes Campos; Rubem Braga; Outros
Para Sempre Alice	Lisa Genova	Nova Fronteira	2009	9788520940624	Português	Mole	284	23	15	459	Literatura Estrangeira	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Para Sempre Alice, de Lisa Genova
Passaporte Para O Mundo	Nely Caixeta	Nobel	2006	9788521313205	Português	Mole	224	23	16	370	História	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Passaporte Para O Mundo, de Nely Caixeta
Paws For A Moment With God	Patricia Mitchel	Concept	2010	9780984332885	Inglês	Mole	144	17	12	190	Religião	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Paws For A Moment With God, de Patricia Mitchel
Paz E Felicidade	John Lubbock	LORENZ	ND	ND	Português	Mole	192	20	13	223	Religião	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Paz E Felicidade, de John Lubbock
Pécus, Um Amigo Muito Especial	Walter Sardinha; Lúcia Hiratsuka	Cortez	2005	9788524911279	Português	Mole	104	21	14	160	Infantil	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Pécus, Um Amigo Muito Especial, de Walter Sardinha; Lúcia Hiratsuka
Pedacinhos Do Céu	Valderez Escobar	Daya	2019	9788567283807	Português	Mole	220	21	14	340	Romance Espírita	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Pedacinhos Do Céu, de Valderez Escobar
Pediatria Com Bom-Senso: Guia Prático Para Pais E Mães	Eduard Estivill; Gonzalo Pin Arboledas	WMF Martins Fontes	2014	9788578278489	Português	Mole	414	23	16	632	Saúde	10	14.85	24.85	https://wa.me/5511981350566?text=Oi! Quero fotos do Pediatria Com Bom-Senso: Guia Prático Para Pais E Mães, de Eduard Estivill; Gonzalo Pin Arboledas
Pedra Bonita	José Lins do Rego	José Olympio	1973	ND	Português	Dura	250	21	14	383	Literatura Brasileira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Pedra Bonita, de José Lins do Rego
Peito Aberto	J. Setta	Pandorga	2014	9788561784782	Português	Mole	112	21	14	150	Contos	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Peito Aberto, de J. Setta
Pelas Portas Do Coração	Zibia Gasparetto	Vida & Consciência	ND	9788585872151	Português	Mole	360	21	14	439	Romance Espírita	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Pelas Portas Do Coração, de Zibia Gasparetto
Pensamentos	Pascal	Folha de S. Paulo	2015	9788581932521	Português	Dura	384	24	16	701	Filosofia	15	16.00	31.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Pensamentos, de Pascal
Pensamentos: Reflexões Sobre A Vida, O Amor E O Universo	DeRose	Egregora	2011	9788562617034	Português	Mole	96	17	10	90	Filosofia	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Pensamentos: Reflexões Sobre A Vida, O Amor E O Universo, de DeRose
Pequenos Milagres: Coincidências Extraordinárias Do Dia-A-Dia	Yitta Halberstam; Judith Leventhal	Sextante	1998	9788586796166	Português	Mole	192	21	14	300	Religião	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Pequenos Milagres: Coincidências Extraordinárias Do Dia-A-Dia, de Yitta Halberstam; Judith Leventhal
Pequim	Anthony Grey	Record	1988	ND	Português	Mole	604	21	14	596	Literatura Estrangeira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Pequim, de Anthony Grey
Percy Jackson And The Olympians: The Ultimate Guide	Rick Riordan	Puffin	2010	9780141331577	Inglês	Dura	160	19	15	390	Literatura Estrangeira	70	11.45	81.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Percy Jackson And The Olympians: The Ultimate Guide, de Rick Riordan
Perguntar Não Ofende	Moacir Jorge Rauber; Andréia Schurt Rauber	Mundo Hispânico	2013	9788599061046	Português	Mole	182	21	15	259	Negócios	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Perguntar Não Ofende, de Moacir Jorge Rauber; Andréia Schurt Rauber
Personalidade Do Vendedor De Sucesso	Ribeiro Sousa	Canal 6	2007	9788599728239	Português	Mole	144	21	15	170	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Personalidade Do Vendedor De Sucesso, de Ribeiro Sousa
Perspectivas Críticas Da Comunicação Em Cabo Verde E Moçambique	Antonio Hohlfeldt; Osvando de Morais (orgs.)	Intercom	2014	9788582080689	Português	Mole	146	23	14	242	Comunicação	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Perspectivas Críticas Da Comunicação Em Cabo Verde E Moçambique, de Antonio Hohlfeldt; Osvando de Morais (orgs.)
Peter And The Wolf	Prokofiev; Erna Voigt	Pocket Bears	1983	9780907144311	Inglês	Mole	56	18	11	110	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Peter And The Wolf, de Prokofiev; Erna Voigt
Petit Larousse Illustré	Larousse	Librairie Larousse	1980	9782030201107	Francês	Dura	1800	21	15	2131	Enciclopédia	15	50.00	65.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Petit Larousse Illustré, de Larousse
Phone Book Cellulare Verso La Rivoluzione Globale	Henrietta Thompson	Lippocampo	2005	9780500512548	Português	Dura	288	12	19	595	Design	200	14.25	214.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Phone Book Cellulare Verso La Rivoluzione Globale, de Henrietta Thompson
Pinóquio	Disney	Melhoramentos	1998	9788506015179	Português	Mole	16	21	16	62	Infantil	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Pinóquio, de Disney
Pixu	Bá; Cloonan; Lolos; Moon	Devir	2009	9788575323830	Português	Mole	128	24	16	268	HQs	15	10.00	25.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Pixu, de Bá; Cloonan; Lolos; Moon
Places In The Dark	Thomas H. Cook	Bantam	2000	9780553580679	Inglês	Mole	282	17	10	170	Literatura Estrangeira	35	8.55	43.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Places In The Dark, de Thomas H. Cook
Planos De Gaivota	Fernando Sérgio Lyra	Escrituras	ND	ND	Português	Dura	112	18	13	250	Poesia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Planos De Gaivota, de Fernando Sérgio Lyra
Plantão Da Noite	Irwin Shaw	Record	1976	ND	Português	Mole	328	21	14	372	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Plantão Da Noite, de Irwin Shaw
Plenitude	Chiang; Ariston S. Teles	Livree	ND	ND	Português	Mole	128	21	14	182	Religião	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Plenitude, de Chiang; Ariston S. Teles
PMP Exam Prep	Rita Mulcahy	RMC Publishing	2002	9780971164734	Inglês	Mole	328	29	22	1005	Negócios	65	25.45	90.45	https://wa.me/5511981350566?text=Oi! Quero fotos do PMP Exam Prep, de Rita Mulcahy
Poemas Do Amor: A Paz	Marizia Cezar	Scortecci	2012	9788536625843	Português	Mole	40	21	14	97	Poesia	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Poemas Do Amor: A Paz, de Marizia Cezar
Poemas Do Verso: Busca	Sisenando Pereira Do Vale	Onix	2008	9788561159085	Português	Mole	114	21	14	190	Poesia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Poemas Do Verso: Busca, de Sisenando Pereira Do Vale
Poemas Do Verso: Lembranças	Sisenando Pereira Do Vale	Onix	2007	9788561159009	Português	Mole	144	21	14	220	Poesia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Poemas Do Verso: Lembranças, de Sisenando Pereira Do Vale
Poética Da Existência	Geraldo Lavigne de Lemos	Patuá	2019	9788582977750	Português	Mole	108	21	14	200	Poesia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Poética Da Existência, de Geraldo Lavigne de Lemos
Ponto	Kieran E. Scott	GMT	2021	9786555642162	Português	Dura	160	18	12	312	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Ponto, de Kieran E. Scott
Ponto Final: Catmandu	Lucio Martins Rodrigues	Lr	1983	ND	Português	Mole	232	21	14	298	Literatura Brasileira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Ponto Final: Catmandu, de Lucio Martins Rodrigues
Pontos Para O Gordo!	Alfredo Halpern	Record	2000	9788501056351	Português	Mole	126	21	14	220	Saúde	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Pontos Para O Gordo!, de Alfredo Halpern
Por Dentro Da Educação Infantil	Lilian Lima; Gleisy Campos (orgs.)	WAK	2010	9788578540975	Português	Mole	192	21	14	259	Pedagogia	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Por Dentro Da Educação Infantil, de Lilian Lima; Gleisy Campos (orgs.)
Por Que Amamos: O Que Os Mitos E A Filosofia Têm A Dizer Sobre O Amor	Renato Noguera	Harper	2020	9788595087071	Português	Mole	204	21	14	277	Autoajuda	20	10.00	30.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Por Que Amamos: O Que Os Mitos E A Filosofia Têm A Dizer Sobre O Amor, de Renato Noguera
Por Um Toque De Ouro	Carolina Munhóz	Rocco	2015	9788568263082	Português	Mole	272	23	16	394	Literatura Brasileira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Por Um Toque De Ouro, de Carolina Munhóz
Por Uma Noite	Luiz Fernando Filgueiras	Dom Quixote	2009	9788562697005	Português	Mole	232	21	14	260	Literatura Brasileira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Por Uma Noite, de Luiz Fernando Filgueiras
Por Uma Teoria De Fãs Da Ficção Televisiva Brasileira	Maria Immacolata Vassallo de Lopes	Sulina	2015	9788520507438	Português	Mole	456	21	14	557	Sociologia	15	14.25	29.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Por Uma Teoria De Fãs Da Ficção Televisiva Brasileira, de Maria Immacolata Vassallo de Lopes
Por Uma Teoria De Fãs Da Ficção Televisiva Brasileira II	Maria Immacolata Vassallo de Lopes	Sulina	2017	9788520508046	Português	Mole	416	21	14	500	Sociologia	15	12.95	27.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Por Uma Teoria De Fãs Da Ficção Televisiva Brasileira II, de Maria Immacolata Vassallo de Lopes
Pornopolítica: Paixões E Taras Na Vida Brasileira	Arnaldo Jabor	Objetiva	2006	9788573027945	Português	Mole	236	23	16	390	Literatura Brasileira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Pornopolítica: Paixões E Taras Na Vida Brasileira, de Arnaldo Jabor
Português Com O Professor Pasquale: Ortografia #1	Pasquale Cipro Neto	Publifolha	2002	9788574021010	Português	Mole	70	18	13	119	Didático	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Português Com O Professor Pasquale: Ortografia #1, de Pasquale Cipro Neto
Prática Contabilidade SNC + NCM	Carlos Nabais; Francisco Nabais	Lidel	2013	9789727579822	Português	Mole	468	24	17	836	Ciências Exatas	190	17.30	207.30	https://wa.me/5511981350566?text=Oi! Quero fotos do Prática Contabilidade SNC + NCM, de Carlos Nabais; Francisco Nabais
Preacher #1	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	69	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #1, de Garth Ennis, Steve Dillon
Preacher #10	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	24	26	17	71	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #10, de Garth Ennis, Steve Dillon
Preacher #11	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	24	26	17	62	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #11, de Garth Ennis, Steve Dillon
Preacher #12	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	24	26	17	75	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #12, de Garth Ennis, Steve Dillon
Preacher #13	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	24	26	17	62	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #13, de Garth Ennis, Steve Dillon
Preacher #14	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	24	26	17	59	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #14, de Garth Ennis, Steve Dillon
Preacher #15	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	48	26	17	81	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #15, de Garth Ennis, Steve Dillon
Preacher #16	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	48	26	17	81	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #16, de Garth Ennis, Steve Dillon
Preacher #17	Garth Ennis, Steve Dillon	Tudo em Quadrinhos	ND	ND	Português	Mole	48	26	17	81	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #17, de Garth Ennis, Steve Dillon
Preacher #18	Garth Ennis, Steve Dillon	Atitude	ND	ND	Português	Mole	48	26	17	80	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #18, de Garth Ennis, Steve Dillon
Preacher #2	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	65	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #2, de Garth Ennis, Steve Dillon
Preacher #3	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	14	65	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #3, de Garth Ennis, Steve Dillon
Preacher #4	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	65	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #4, de Garth Ennis, Steve Dillon
Preacher #5	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	67	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #5, de Garth Ennis, Steve Dillon
Preacher #6	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	63	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #6, de Garth Ennis, Steve Dillon
Preacher #7	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	64	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #7, de Garth Ennis, Steve Dillon
Preacher #8	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	62	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #8, de Garth Ennis, Steve Dillon
Preacher #9	Gartgh Ennis; Steve Dillon	Metal Pesado	ND	ND	Português	Mole	24	26	17	61	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher #9, de Gartgh Ennis; Steve Dillon
Preacher Viagem Pro Texas #1	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	64	26	17	101	HQs	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher Viagem Pro Texas #1, de Garth Ennis, Steve Dillon
Preacher Viagem Pro Texas #2	Garth Ennis, Steve Dillon	Metal Pesado	ND	ND	Português	Mole	48	26	17	84	HQs	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Preacher Viagem Pro Texas #2, de Garth Ennis, Steve Dillon
Presente Do Mar	Anne Morrow Lindbergh	Sextante	2009	9788575425138	Português	Mole	128	14	21	182	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Presente Do Mar, de Anne Morrow Lindbergh
Pride And Prejudice	Jane Austen	Splinter	2012	9781402785306	Inglês	Mole	412	21	14	560	Literatura Estrangeira	40	14.25	54.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Pride And Prejudice, de Jane Austen
Primeira Poesia Revisitada	Geraldo Lavigne de Lemos	Patuá	2023	9786558645528	Português	Mole	274	23	16	530	Poesia	40	13.50	53.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Primeira Poesia Revisitada, de Geraldo Lavigne de Lemos
Princípios De Marketing	Semenik; Bamossy	Makron Books	1995	9788534605021	Português	Mole	868	24	17	1534	Negócios	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Princípios De Marketing, de Semenik; Bamossy
Privacidade, Sigilo, Compartilhamento	Cristina Costa (org)	Instituto Palavra Aberta	ND	ND	Português	Mole	206	23	16	347	Sociologia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Privacidade, Sigilo, Compartilhamento, de Cristina Costa (org)
Procurando Bichinhos	Priscila Sipans	Online	ND	9788543211770	Português	Mole	32	27	20	119	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Procurando Bichinhos, de Priscila Sipans
Productivity And Quality Improvement	John L. Hradesky	McGraw Hill	1987	9780070304994	Inglês	Dura	246	24	16	553	Engenharia	100	14.25	114.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Productivity And Quality Improvement, de John L. Hradesky
Profélio Murigátio: Um Encontro Do Outro Mundo	Cristina Mega	Nucleo	1994	9788572630757	Português	Mole	72	23	16	120	Juvenil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Profélio Murigátio: Um Encontro Do Outro Mundo, de Cristina Mega
Programa Sesi - SP Na Trilha Dos Saberes	Walter Vicioni Goncalves	SESI SP	2013	9788582050651	Português	Mole	120	21	17	319	Pedagogia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Programa Sesi - SP Na Trilha Dos Saberes, de Walter Vicioni Goncalves
Programas De Saúde	José Luiz Vasconcellos; Fernando Gewandsznajder	Ática	1995	9788508023684	Português	Mole	256	21	14	350	Saúde	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Programas De Saúde, de José Luiz Vasconcellos; Fernando Gewandsznajder
Programas De Tratamento De Imagens	Fred Izumi Utsunomiya	Mackenzie	2014	9788582930281	Português	Mole	112	21	14	186	Tecnologia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Programas De Tratamento De Imagens, de Fred Izumi Utsunomiya
Proyecto Censurado 2011	Peter Phillips; Mickey Huff	José Marti	2011	9789590905018	Espanhol	Mole	182	21	14	240	História	110	9.20	119.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Proyecto Censurado 2011, de Peter Phillips; Mickey Huff
Quando A Vida Escolhe	Zibia Gasparetto	Vida & Consciência	ND	ND	Português	Mole	346	21	14	436	Romance Espírita	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Quando A Vida Escolhe, de Zibia Gasparetto
Quando É Preciso Ser Forte	DeRose	Nobel	2008	9788521313748	Português	Mole	540	23	16	804	Biografias	10	17.30	27.30	https://wa.me/5511981350566?text=Oi! Quero fotos do Quando É Preciso Ser Forte, de DeRose
Quantum Break: Estado Zero	Cam Rogers	Planeta	2016	9788542207620	Português	Mole	384	23	16	540	Literatura Estrangeira	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Quantum Break: Estado Zero, de Cam Rogers
Quarup	Antonio Callado	Círculo do Livro	1975	ND	Português	Dura	470	20	13	575	Literatura Brasileira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Quarup, de Antonio Callado
Quase Nada Sobre Quase Tudo	Jean Dormesson	Record	1997	9788501047250	Português	Mole	356	14	21	415	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Quase Nada Sobre Quase Tudo, de Jean Dormesson
Quase Tudo	Danuza Leão	Companhia das Letras	2005	9788535907506	Português	Mole	224	21	14	442	Biografias	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Quase Tudo, de Danuza Leão
Que Crise É Esta?	Marco Aurélio Ferreira Vianna	Infinito	1998	9788573121568	Português	Mole	270	23	16	431	Negócios	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Que Crise É Esta?, de Marco Aurélio Ferreira Vianna
Quebra Tudo!	Ricardo Jordao Magalhaes	Original	2005	9788588948174	Português	Mole	196	19	14	227	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Quebra Tudo!, de Ricardo Jordao Magalhaes
Quem Conta Um Conto 2 Personagem	Guilherme Cunha Pinto	Atual	1989	9788570561916	Português	Mole	92	21	14	140	Literatura Estrangeira	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Quem Conta Um Conto 2 Personagem, de Guilherme Cunha Pinto
Quincas Borba; Dom Casmurro	Machado de Assis	Formar	1971	ND	Português	Dura	278	22	15	566	Literatura Brasileira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Quincas Borba; Dom Casmurro, de Machado de Assis
Quinze	Luana Przewodowski	Scortecci	ND	ND	Português	Mole	74	20	14	121	Poesia	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Quinze, de Luana Przewodowski
Radiodifusão No Brasil	Genira Chagas	Atlas	2012	9788522471003	Português	Mole	138	24	17	325	Comunicação	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Radiodifusão No Brasil, de Genira Chagas
Radiografia Da Alma	Hewaldo Trevisan	Planeta	2011	9788576655626	Português	Mole	128	23	16	230	Religião	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Radiografia Da Alma, de Hewaldo Trevisan
Refugiados Urbanos	Graziela Bedoian; Auro Danny Lescher	Peiropolis	2017	9788575965467	Português	Mole	206	19	21	565	Sociologia	15	14.25	29.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Refugiados Urbanos, de Graziela Bedoian; Auro Danny Lescher
Regresso Ao Admirável Mundo Novo	Aldous Huxley	Hemus	1959	ND	Português	Mole	198	21	14	276	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Regresso Ao Admirável Mundo Novo, de Aldous Huxley
Rei Artur	Allan Massie	Ediouro	2004	9788500015106	Português	Mole	444	23	16	690	Literatura Estrangeira	10	15.40	25.40	https://wa.me/5511981350566?text=Oi! Quero fotos do Rei Artur, de Allan Massie
Reinações De Narizinho	Monteiro, Lobato	Círculo do Livro	1985	ND	Português	Dura	310	22	14	487	Infantil	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Reinações De Narizinho, de Monteiro, Lobato
Relações Humanas Na Família E No Trabalho	Pierre Weil	Vozes	1979	ND	Português	Mole	246	21	14	308	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Relações Humanas Na Família E No Trabalho, de Pierre Weil
Relaxe... E Viva Feliz	Nubia Maciel França; Haroldo J. Rahm	Loyola	ND	ND	Português	Mole	164	21	14	218	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Relaxe... E Viva Feliz, de Nubia Maciel França; Haroldo J. Rahm
Religiões Monoteístas	Jeannine Siat	Zahar	2000	9788571105447	Português	Mole	100	18	12	120	Religião	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Religiões Monoteístas, de Jeannine Siat
Relíquias De Casa Velha; Crônicas	Machado de Assis	Formar	1971	ND	Português	Dura	256	22	15	557	Literatura Brasileira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Relíquias De Casa Velha; Crônicas, de Machado de Assis
Remetente N. 15	Guilherme Oli; Outros	Letras e Versos	2015	9788567293455	Português	Mole	176	23	16	325	Contos	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Remetente N. 15, de Guilherme Oli; Outros
Renascendo Do Ódio	Wanda A. Canutti; Eça de Queiroz	EME	2010	9788573534337	Português	Mole	272	21	14	350	Romance Espírita	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Renascendo Do Ódio, de Wanda A. Canutti; Eça de Queiroz
Rescate Animal	Patrick, George	Juventud	2016	9788426143389	Espanhol	Dura	30	20	23	400	Infantil	140	11.45	151.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Rescate Animal, de Patrick, George
Restart: New Systems In Graphic Design	Christian Kusters	Thames & Hudson	2001	9780500282977	Inglês	Mole	176	30	21	974	Design	10	19.25	29.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Restart: New Systems In Graphic Design, de Christian Kusters
Retórica	Aristóteles	Folha de S. Paulo	2015	9788581932439	Português	Dura	240	24	16	491	Filosofia	15	12.95	27.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Retórica, de Aristóteles
